dimension,band,n_decisions,n_verify,n_llm_actions,mpc_step1_rate,repeat_last_rate_on_verify,llm_autocorr_adjacent_rate
buffer,<5s,113,108,112,0.425926,0.972222,0.454545
buffer,5-10s,252,113,140,0.902655,0.911504,0.887850
buffer,10-20s,673,188,308,0.893617,0.893617,0.885714
buffer,>=20s,3662,1379,2190,0.817259,0.860044,0.875871
throughput_cv,stable cv<0.10,3322,1029,1477,0.869776,0.873664,0.881594
throughput_cv,moderate 0.10-0.30,991,474,889,0.886076,0.883966,0.902314
throughput_cv,volatile cv>=0.30,287,185,284,0.454054,0.778378,0.778986
throughput_cv,unknown,100,100,100,0.440000,1.000000,
