dimension,band,n_decisions,n_verify,n_llm_actions,mpc_step1_rate,repeat_last_rate_on_verify,llm_autocorr_adjacent_rate
buffer,<5s,119,111,119,0.945946,0.945946,0.470588
buffer,5-10s,238,29,52,0.862069,0.862069,0.909091
buffer,10-20s,654,207,317,0.917874,0.917874,0.878307
buffer,>=20s,3689,1372,2232,0.868076,0.868076,0.870267
throughput_cv,stable cv<0.10,3309,992,1424,0.870968,0.870968,0.864557
throughput_cv,moderate 0.10-0.30,999,467,911,0.897216,0.897216,0.896380
throughput_cv,volatile cv>=0.30,292,160,285,0.800000,0.800000,0.796296
throughput_cv,unknown,100,100,100,1.000000,1.000000,
