phase,drafter,k,mode,selectors,qoe,d_qoe_pct,bitrate_mbps,rebuffer_total_s,d_rebuffer_s,smoothness_mbps,latency_mean_ms,speedup_vs_a1,acceptance_rate,q_queue_serve,queued_actions_served,target_plm_calls,fallback_total,fallback_buffer,fallback_state,fallback_return,draft_1step_rate,repeat_on_verify_rate,llm_autocorr_rate,accepted_prefix_mean,ctx_tokens_mean,q_parity_model,q_1p24x_model,c_verify_ms,c_serve_ms,safety_C_incidence,safety_C_vs_mpc,safety_window_union_rebuffer_s,safety_A_queue_mean_s,safety_A_llm_mean_s
m1a_mpc_k3_sample,mpc,3,sample,none/none,0.9563658046136191,0.8063230311141437,1.029968085106383,7.483887980462908,1.0921705341741639,0.06675531914893618,82.77154125540736,0.9740895514675123,0.07908402145228569,0.07361702127659575,346,4354,353,315,38,0,0.16270932266933266,0.8937765558610348,0.8868972481696541,0.232191952011997,148.34091477130718,0.099096321859262,0.27736139062859844,89.30172660447758,1.7623866802603652,0.005780346820809248,,0.08536366440774328,0.0,0.0017188534635881735
m1b_mpc_k3_greedy,mpc,3,greedy,none/none,0.9190389226049035,-3.1281398149670876,0.9597340425531915,0.08536366440774328,-6.306353781881001,0.04061702127659574,83.87427623403516,0.9612827331085455,0.061424454508028,0.0627659574468085,295,4405,268,236,32,0,0.12835387962291517,0.9330432680686488,0.9245562130177515,0.18032390621223107,148.6623156876964,0.10008127932964128,0.27823268121400363,89.39353898998867,1.7983458758631752,0.006779661016949152,1.1728813559322033,0.08536366440774328,0.0,1.937881144330154e-05
m2_repeat_k3,repeat-last,3,sample,none/none,0.9342371500014428,-1.5261613533314329,1.0233617021276595,23.845440696097604,17.45372324980886,0.06730851063829787,56.80850705312704,1.41927499380247,0.7839475012619889,0.3776595744680851,1775,2925,900,759,141,0,0.8795061728395062,0.8795061728395062,0.8609271523178808,2.3007407407407405,148.70913580246915,0.1153557938689119,0.29041132318256563,90.91021401911146,1.7658921413805704,0.0033802816901408453,0.5847887323943662,8.765928386133549,0.001764136177782151,0.007081743241208302
m3_hybrid_k3,hybrid,3,sample,none/none,0.9319083888825298,-1.7716258445156254,1.0219468085106382,26.867574942351133,20.47585749606239,0.06545744680851065,57.045690116145586,1.4133739697354402,0.7301638812266753,0.3727659574468085,1752,2948,847,686,161,0,0.8315088053307949,0.8891004283674441,0.8637587506731287,2.1418372203712517,146.5207044264636,0.11090445895586999,0.2869323860632016,90.45878864887052,1.806909892735705,0.00228310502283105,0.3949771689497717,12.905397472297661,0.0,0.00911383139157094
m4_repeat_k5,repeat-last,5,sample,none/none,0.9111119325918198,-3.9636890494424604,1.0112659574468084,37.12184112056913,30.730123674280385,0.06619148936170213,61.72662549384652,1.3061931192689624,0.6953305033353547,0.41914893617021276,1970,2730,1000,840,160,0,0.8716763005780347,0.8716763005780347,0.8628389154704944,3.3138728323699422,166.19190751445086,0.2829582110648879,0.4248783556182332,111.74032166923229,1.7826655470094819,0.0025380710659898475,0.43908629441624364,16.732697259592857,2.848740381790647e-05,0.013577187155695194
m5_hybrid_k5,hybrid,5,sample,none/none,0.9300055844919322,-1.9721921060217065,1.0069148936170214,18.505523927422857,12.113806481134112,0.059978723404255314,60.785942111867776,1.326406907494701,0.6590612002376708,0.41851063829787233,1967,2733,971,833,138,0,0.8269012485811578,0.880249716231555,0.8769149498151083,3.1475595913734393,162.01589103291715,0.2658414346229698,0.41113997440553346,109.17853222488374,1.7775461243642623,0.005592272496187087,0.9674631418403661,17.660045830434214,0.0054120416791671915,0.0028759743668133877
m6_best_plus_selectors,repeat-last,3,sample,event-aware/none,0.9119135034489697,-3.87919898259944,1.0085319148936172,30.4084962301959,24.016778783907156,0.06879787234042553,38.365602610295916,2.1015411725637057,0.775220943805236,0.3778723404255319,1776,2924,879,712,167,0,0.8616136919315404,0.8616136919315404,0.8495332235035694,2.2733496332518337,35.52909535452323,-0.32546934582551085,-0.06314708703789722,61.26515632352967,1.7764704463335366,0.0005630630630630631,0.09740990990990991,9.466900898892774,0.0,0.010399622513746888
